Mes,estacion,afluencia_predicha,delitos_con_violencia,delitos_sin_violencia
2027-03,PERIFÉRICO ORIENTE,754852.7669535975,0.0,0.0
2027-04,PERIFÉRICO ORIENTE,164021.22737310594,0.0,0.0
2027-05,PERIFÉRICO ORIENTE,204028.7856010885,0.0,0.0
2027-06,PERIFÉRICO ORIENTE,162076.65024469196,0.0,0.0
2027-07,PERIFÉRICO ORIENTE,552873.3516083931,0.0,0.0
2027-08,PERIFÉRICO ORIENTE,985370.6151299296,0.0,0.0
2027-09,PERIFÉRICO ORIENTE,826490.3869429422,0.0,0.0
2027-10,PERIFÉRICO ORIENTE,869798.2267804178,0.0,0.0
2027-11,PERIFÉRICO ORIENTE,1134224.0686392223,0.0,0.0
2027-12,PERIFÉRICO ORIENTE,755602.9374434279,0.0,0.0
2028-01,PERIFÉRICO ORIENTE,932218.899038026,0.0,0.0
2028-02,PERIFÉRICO ORIENTE,591529.4132202732,0.0,0.0
2028-03,PERIFÉRICO ORIENTE,507045.9620364537,0.0,0.0
2028-04,PERIFÉRICO ORIENTE,323803.1116006027,0.0,0.0
2028-05,PERIFÉRICO ORIENTE,407155.27285967366,0.0,0.0
2028-06,PERIFÉRICO ORIENTE,323705.9244028582,0.0,0.0
2028-07,PERIFÉRICO ORIENTE,736662.0064619337,0.0,0.0
2028-08,PERIFÉRICO ORIENTE,752504.9875385133,0.0,0.0
2028-09,PERIFÉRICO ORIENTE,760712.1337846916,0.0,0.0
2028-10,PERIFÉRICO ORIENTE,1007278.6929680996,0.0,0.0
2028-11,PERIFÉRICO ORIENTE,835401.7352133441,0.0,0.0
2028-12,PERIFÉRICO ORIENTE,706491.4475316773,0.0,0.0
2029-01,PERIFÉRICO ORIENTE,871080.9240517447,0.0,0.0
2029-02,PERIFÉRICO ORIENTE,621625.4087700793,0.0,0.0
2029-03,PERIFÉRICO ORIENTE,499776.0114684081,0.0,0.0
2029-04,PERIFÉRICO ORIENTE,208861.75671275423,0.0,0.0
2029-05,PERIFÉRICO ORIENTE,173895.3234977438,0.0,0.0
2029-06,PERIFÉRICO ORIENTE,168732.4162438375,0.0,0.0
2029-07,PERIFÉRICO ORIENTE,674055.897175281,0.0,0.0
2029-08,PERIFÉRICO ORIENTE,732914.7776334481,0.0,0.0
2029-09,PERIFÉRICO ORIENTE,752567.9649553008,0.0,0.0
2029-10,PERIFÉRICO ORIENTE,1000181.9675859988,0.0,0.0
2029-11,PERIFÉRICO ORIENTE,832787.7819799823,0.0,0.0
2029-12,PERIFÉRICO ORIENTE,868693.5154065569,0.0,0.0
2030-01,PERIFÉRICO ORIENTE,666179.5435926955,0.0,0.0
2030-02,PERIFÉRICO ORIENTE,551578.484290294,0.0,0.0
2030-03,PERIFÉRICO ORIENTE,453855.01301514736,0.0,0.0
2025-04,ZAPOTITLÁN,56943.94868075277,0.0,0.0
2025-05,ZAPOTITLÁN,47938.79553406197,0.0,0.0
2025-06,ZAPOTITLÁN,60515.51417054864,0.0,0.0
2025-07,ZAPOTITLÁN,47314.710188446894,0.0,0.0
2025-08,ZAPOTITLÁN,51427.62490158183,0.0,0.0
2025-09,ZAPOTITLÁN,65396.48514643755,0.0,0.0
2025-10,ZAPOTITLÁN,55677.27149090351,0.0,0.0
